epoch,train_loss,train_acc,es_val_acc,ao_val_acc,es_Forest_Vegetation,es_Cropland,es_Water,es_Built_up,ao_Forest_Vegetation,ao_Cropland,ao_Water,ao_Built_up,ao_Bare_Sparse,ao_Wetland,elapsed_s,best_es_val_acc
1,0.423907,0.850865,0.823889,0.533898,0.9263,0.9191,0.4845,0.8894,0.0,0.0,0.15,0.0,1.0,1.0,474.4,0.823889
2,0.283852,0.899837,0.918148,0.567797,0.9669,0.9345,0.8109,0.9319,0.2,0.0,0.25,0.0,1.0,1.0,921.5,0.918148
3,0.249933,0.910528,0.938704,0.559322,0.9194,0.9536,0.9527,0.9381,0.0,0.0,0.15,0.375,1.0,1.0,1401.6,0.938704
4,0.221883,0.921627,0.951667,0.686441,0.9656,0.9527,0.9436,0.9425,0.2,0.35,0.45,0.375,1.0,1.0,1889.0,0.951667
5,0.207716,0.9243,0.950926,0.601695,0.9375,0.9536,0.9445,0.9669,0.0,0.3,0.25,0.0,1.0,1.0,2336.3,0.951667
6,0.18522,0.930371,0.956481,0.661017,0.9712,0.9436,0.96,0.9481,0.0,0.45,0.45,0.0,1.0,1.0,2758.8,0.956481
7,0.1717,0.937755,0.957963,0.652542,0.965,0.9573,0.9509,0.9563,0.1,0.15,0.5,0.375,1.0,1.0,3118.1,0.957963
8,0.16021,0.939023,0.957778,0.79661,0.97,0.9464,0.9573,0.9537,0.1,0.95,0.55,0.375,1.0,1.0,3476.4,0.957963
9,0.167474,0.93925,0.96037,0.771186,0.9663,0.9473,0.9591,0.9644,0.1,0.7,0.65,0.375,1.0,1.0,3833.0,0.96037
10,0.158529,0.94079,0.955741,0.677966,0.9613,0.9564,0.9564,0.9494,0.1,0.25,0.7,0.0,1.0,1.0,4191.8,0.96037
11,0.147471,0.945592,0.958704,0.745763,0.9663,0.9655,0.9509,0.9519,0.1,0.75,0.45,0.375,1.0,1.0,4548.7,0.96037
12,0.148923,0.944007,0.961481,0.788136,0.9644,0.9555,0.9673,0.9587,0.0,0.9,0.6,0.375,1.0,1.0,4915.1,0.961481
13,0.145971,0.946453,0.961852,0.762712,0.9669,0.9627,0.9627,0.9556,0.0,0.7,0.65,0.375,1.0,1.0,5272.7,0.961852
14,0.139787,0.947087,0.962778,0.79661,0.9769,0.9518,0.9591,0.9587,0.1,0.8,0.7,0.375,1.0,1.0,5631.1,0.962778
15,0.143815,0.94677,0.961852,0.813559,0.975,0.9545,0.9627,0.9531,0.1,0.9,0.7,0.375,1.0,1.0,5991.1,0.962778
